date,type,value,unit,model
2024-08-31 15:24:20,1,75.874,-3,Body Smart
2024-08-31 15:24:20,5,60.5,-2,Body Smart
2024-08-31 15:24:20,8,15.370000000000001,-2,Body Smart
2024-08-31 15:24:20,76,57.47,-2,Body Smart
2024-08-31 15:24:20,77,43.27,-2,Body Smart
2024-08-31 15:24:20,88,3.02,-2,Body Smart
2024-08-31 15:24:20,170,2.9000000000000004,-1,Body Smart
2024-08-31 15:24:20,226,1755.0,0,Body Smart
2024-08-31 15:24:20,6,20.257,-3,Body Smart
2024-08-31 06:16:39,1,75.479,-3,Body Smart
2024-08-31 06:16:39,5,59.56,-2,Body Smart
2024-08-31 06:16:39,8,15.91,-2,Body Smart
2024-08-31 06:16:39,76,56.59,-2,Body Smart
2024-08-31 06:16:39,77,42.04,-2,Body Smart
2024-08-31 06:16:39,88,2.97,-2,Body Smart
2024-08-31 06:16:39,170,3.0,-1,Body Smart
2024-08-31 06:16:39,226,1728.0,0,Body Smart
2024-08-31 06:16:39,6,21.079,-3,Body Smart
2024-08-30 21:02:22,1,76.256,-3,Body Smart
2024-08-30 21:02:22,5,60.72,-2,Body Smart
2024-08-30 21:02:22,8,15.530000000000001,-2,Body Smart
2024-08-30 21:02:22,76,57.68,-2,Body Smart
2024-08-30 21:02:22,77,43.69,-2,Body Smart
2024-08-30 21:02:22,88,3.0300000000000002,-2,Body Smart
2024-08-30 21:02:22,170,2.9000000000000004,-1,Body Smart
2024-08-30 21:02:22,226,1762.0,0,Body Smart
2024-08-30 21:02:22,6,20.366,-3,Body Smart
2024-08-30 04:10:51,1,75.384,-3,Body Smart
2024-08-30 04:10:51,5,59.36,-2,Body Smart
2024-08-30 04:10:51,8,16.01,-2,Body Smart
2024-08-30 04:10:51,76,56.4,-2,Body Smart
2024-08-30 04:10:51,77,41.730000000000004,-2,Body Smart
2024-08-30 04:10:51,88,2.96,-2,Body Smart
2024-08-30 04:10:51,170,3.0,-1,Body Smart
2024-08-30 04:10:51,226,1722.0,0,Body Smart
2024-08-30 04:10:51,6,21.238,-3,Body Smart
2024-08-29 21:17:06,1,75.467,-3,Body Smart
2024-08-29 21:17:06,5,59.7,-2,Body Smart
2024-08-29 21:17:06,8,15.75,-2,Body Smart
